match_number,date,stage,group,home_team,away_team,score,home_score,away_score,predicted_winner,confidence,safe_score,upside_score,recommended_rule,model_score,model_predicted_winner,filled_score,filled_predicted_winner,new_model_score,new_model_predicted_winner,round_locked,round_status,score_source,model_favourite_prob,prob_home_win,prob_draw,prob_away_win,actual_available,actual_home_score,actual_away_score,actual_score,actual_outcome,actual_winner,actual_source,pre_match_score,pre_match_predicted_winner,pre_match_confidence,pre_match_model_favourite_prob,pre_match_source,prediction_exact,prediction_outcome_correct,actual_online_verified
43,2026-06-22,Group Stage,I,Norway,Senegal,2-1,3,2,Norway,actual,3-1,2-1,actual_result_locked,3-2,Norway,2-1,Norway,,,True,locked,manual_locked_score,1.0,1.0,0.0,0.0,True,3,2,3-2,home_win,Norway,espn,2-1,Norway,low,0.438888026542066,manual_locked_score,False,True,True
44,2026-06-22,Group Stage,J,Jordan,Algeria,1-2,1,2,Algeria,actual,0-1,1-2,actual_result_locked,1-2,Algeria,1-2,Algeria,,,True,locked,manual_locked_score,1.0,0.0,0.0,1.0,True,1,2,1-2,away_win,Algeria,espn,1-2,Algeria,medium,0.5964912375167866,manual_locked_score,True,True,True
45,2026-06-23,Group Stage,K,Portugal,Uzbekistan,2-1,5,0,Portugal,actual,4-0,3-0,actual_result_locked,5-0,Portugal,2-1,Portugal,,,True,played,current_run,1.0,1.0,0.0,0.0,True,5,0,5-0,home_win,Portugal,espn,2-0,Portugal,,,excel_prematch_score,False,True,True
46,2026-06-23,Group Stage,L,England,Ghana,3-0,0,0,England,actual,0-0,0-0,actual_result_locked,0-0,Draw,3-0,England,,,True,played,current_run,1.0,0.0,1.0,0.0,True,0,0,0-0,draw,Draw,espn,2-0,England,,,excel_prematch_score,False,False,True
47,2026-06-23,Group Stage,L,Panama,Croatia,1-2,0,1,Croatia,actual,0-1,0-2,actual_result_locked,0-1,Croatia,1-2,Croatia,,,True,played,current_run,1.0,0.0,0.0,1.0,True,0,1,0-1,away_win,Croatia,espn,0-1,Croatia,,,excel_prematch_score,True,True,True
48,2026-06-23,Group Stage,K,Colombia,DR Congo,2-0,1,0,Colombia,actual,1-0,2-0,actual_result_locked,1-0,Colombia,2-0,Colombia,,,True,played,current_run,1.0,1.0,0.0,0.0,True,1,0,1-0,home_win,Colombia,espn,1-0,Colombia,,,excel_prematch_score,True,True,True
49,2026-06-24,Group Stage,B,Bosnia and Herzegovina,Qatar,3-1,3,1,Bosnia and Herzegovina,actual,2-0,2-1,actual_result_locked,3-1,Bosnia and Herzegovina,3-1,Bosnia and Herzegovina,,,True,played,current_run,1.0,1.0,0.0,0.0,True,3,1,3-1,home_win,Bosnia and Herzegovina,espn,1-0,Bosnia and Herzegovina,,,excel_prematch_score,False,True,True
50,2026-06-24,Group Stage,B,Switzerland,Canada,2-1,2,1,Switzerland,actual,1-0,2-1,actual_result_locked,2-1,Switzerland,2-1,Switzerland,,,True,played,current_run,1.0,1.0,0.0,0.0,True,2,1,2-1,home_win,Switzerland,espn,1-0,Switzerland,,,excel_prematch_score,False,True,True
51,2026-06-24,Group Stage,C,Morocco,Haiti,4-2,4,2,Morocco,actual,3-1,2-1,actual_result_locked,4-2,Morocco,4-2,Morocco,,,True,played,current_run,1.0,1.0,0.0,0.0,True,4,2,4-2,home_win,Morocco,espn,2-0,Morocco,,,excel_prematch_score,False,True,True
52,2026-06-24,Group Stage,C,Scotland,Brazil,0-3,0,3,Brazil,actual,0-2,0-3,actual_result_locked,0-3,Brazil,0-3,Brazil,,,True,played,current_run,1.0,0.0,0.0,1.0,True,0,3,0-3,away_win,Brazil,espn,0-1,Brazil,,,excel_prematch_score,False,True,True
53,2026-06-24,Group Stage,A,Czech Republic,Mexico,1-2,0,3,Mexico,actual,0-2,0-3,actual_result_locked,0-3,Mexico,1-2,Mexico,,,True,played,current_run,1.0,0.0,0.0,1.0,True,0,3,0-3,away_win,Mexico,espn,0-1,Mexico,,,excel_prematch_score,False,True,True
54,2026-06-24,Group Stage,A,South Africa,South Korea,0-1,1,0,South Korea,actual,1-0,2-0,actual_result_locked,1-0,South Africa,0-1,South Korea,,,True,played,current_run,1.0,1.0,0.0,0.0,True,1,0,1-0,home_win,South Africa,espn,0-1,South Korea,,,excel_prematch_score,False,False,True
55,2026-06-25,Group Stage,E,Curaçao,Ivory Coast,1-2,0,2,Ivory Coast,actual,0-2,0-2,actual_result_locked,0-2,Ivory Coast,1-2,Ivory Coast,,,True,played,current_run,1.0,0.0,0.0,1.0,True,0,2,0-2,away_win,Ivory Coast,espn,0-1,Ivory Coast,,,excel_prematch_score,False,True,True
56,2026-06-25,Group Stage,E,Ecuador,Germany,1-2,2,1,Germany,actual,1-0,2-1,actual_result_locked,2-1,Ecuador,1-2,Germany,,,True,played,current_run,1.0,1.0,0.0,0.0,True,2,1,2-1,home_win,Ecuador,espn,0-1,Germany,,,excel_prematch_score,False,False,True
57,2026-06-25,Group Stage,F,Japan,Sweden,2-1,1,1,Japan,actual,0-0,1-1,actual_result_locked,1-1,Draw,2-1,Japan,,,True,played,current_run,1.0,0.0,1.0,0.0,True,1,1,1-1,draw,Draw,espn,1-0,Japan,,,excel_prematch_score,False,False,True
58,2026-06-25,Group Stage,F,Tunisia,Netherlands,0-1,1,3,Netherlands,actual,0-2,1-2,actual_result_locked,1-3,Netherlands,0-1,Netherlands,,,True,played,current_run,1.0,0.0,0.0,1.0,True,1,3,1-3,away_win,Netherlands,espn,0-1,Netherlands,,,excel_prematch_score,False,True,True
59,2026-06-25,Group Stage,D,Paraguay,Australia,1-1,0,0,Draw,actual,0-0,0-0,actual_result_locked,0-0,Draw,1-1,Draw,,,True,played,current_run,1.0,0.0,1.0,0.0,True,0,0,0-0,draw,Draw,espn,1-0,Paraguay,,,excel_prematch_score,False,False,True
60,2026-06-25,Group Stage,D,Turkey,United States,1-2,3,2,United States,actual,3-1,2-1,actual_result_locked,3-2,Turkey,1-2,United States,,,True,played,current_run,1.0,1.0,0.0,0.0,True,3,2,3-2,home_win,Turkey,espn,1-0,Turkey,,,excel_prematch_score,False,True,True
61,2026-06-26,Group Stage,I,Norway,France,1-2,1,2,France,medium,0-1,1-2,wk2022_tuned_medium_2_1,1-2,France,1-2,France,,,True,locked,current_run,0.6043959225942266,0.2086373668057251,0.1869667106000483,0.6043959225942266,False,,,,,,,1-2,France,medium,0.6043959225942266,current_run,,,False
62,2026-06-26,Group Stage,I,Senegal,Iraq,2-1,2,0,Senegal,high,1-0,2-0,wk2022_tuned_strong_2_0,2-0,Senegal,2-1,Senegal,2-0,,True,locked,current_run,0.7476762214198144,0.7476762214198144,0.1346306218202738,0.1176931567599117,False,,,,,,,2-1,Senegal,high,0.7476762214198144,current_run,,,False
63,2026-06-26,Group Stage,H,Cape Verde,Saudi Arabia,1-2,1,1,Saudi Arabia,low,0-1,1-1,wk2022_tuned_close_draw,1-1,Draw,1-2,Saudi Arabia,1-1,Draw,True,locked,current_run,0.4061931437883526,0.3321810550280357,0.2616258011836118,0.4061931437883526,False,,,,,,,1-2,Saudi Arabia,low,0.4061931437883526,current_run,,,False
64,2026-06-26,Group Stage,H,Uruguay,Spain,0-1,0,1,Spain,medium,0-1,0-1,safe_expected_points,0-1,Spain,0-1,Spain,,,True,locked,current_run,0.5894618223679834,0.1757309426075982,0.2348072350244183,0.5894618223679834,False,,,,,,,0-1,Spain,medium,0.5894618223679834,current_run,,,False
65,2026-06-26,Group Stage,G,Egypt,Iran,1-1,1,1,Draw,low,1-0,1-1,wk2022_tuned_close_draw,1-1,Draw,1-1,Draw,,,True,locked,current_run,0.3726906173006623,0.3726906173006623,0.3050247281934156,0.322284654505922,False,,,,,,,1-1,Draw,low,0.3726906173006623,current_run,,,False
66,2026-06-26,Group Stage,G,New Zealand,Belgium,1-2,1,2,Belgium,high,0-1,1-2,wk2022_tuned_strong_2_1,1-2,Belgium,1-2,Belgium,,,True,locked,current_run,0.7942105217639589,0.0878225352584021,0.117966942977639,0.7942105217639589,False,,,,,,,1-2,Belgium,high,0.7942105217639589,current_run,,,False
67,2026-06-27,Group Stage,L,Croatia,Ghana,1-0,1,0,Croatia,medium,1-0,1-0,safe_expected_points,1-0,Croatia,1-0,Croatia,,,True,locked,current_run,0.6094422954843745,0.6094422954843745,0.2413770874949237,0.1491806170207018,False,,,,,,,1-0,Croatia,medium,0.6094422954843745,current_run,,,False
68,2026-06-27,Group Stage,L,Panama,England,0-2,0,2,England,high,0-1,0-2,wk2022_tuned_strong_2_0,0-2,England,0-2,England,,,True,locked,current_run,0.8028051436717876,0.074904449843243,0.1222904064849693,0.8028051436717876,False,,,,,,,0-2,England,high,0.8028051436717876,current_run,,,False
69,2026-06-27,Group Stage,K,Colombia,Portugal,1-2,0,1,Portugal,low,0-1,1-2,safe_expected_points,0-1,Portugal,1-2,Portugal,0-1,,True,locked,current_run,0.4817757986602161,0.2896096743362957,0.2286145270034881,0.4817757986602161,False,,,,,,,1-2,Portugal,low,0.4817757986602161,current_run,,,False
70,2026-06-27,Group Stage,K,DR Congo,Uzbekistan,2-1,2,1,DR Congo,low,1-0,2-1,wk2022_tuned_small_2_1,2-1,DR Congo,2-1,DR Congo,,,True,locked,current_run,0.5005403594042199,0.5005403594042199,0.2153111912879346,0.2841484493078455,False,,,,,,,2-1,DR Congo,low,0.5005403594042199,current_run,,,False
71,2026-06-27,Group Stage,J,Algeria,Austria,1-1,1,1,Draw,low,1-1,1-1,safe_expected_points,1-1,Draw,1-1,Draw,,,True,locked,current_run,0.3678357559855434,0.2748135205539067,0.3573507234605498,0.3678357559855434,False,,,,,,,1-1,Draw,low,0.3678357559855434,current_run,,,False
