source,soccerbase_game_id,date,competition,season,tab,stage,home_team,away_team,team,opponent,is_home,player_id,player_name,card_type,minute,event_source,source_url
soccerbase,878859,2023-06-26,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Mexico,Honduras,Mexico,Honduras,1,119263,J Sanchez,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878859,2023-06-26,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Mexico,Honduras,Mexico,Honduras,1,106799,U Antuna,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878859,2023-06-26,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Mexico,Honduras,Honduras,Mexico,0,164695,L Vega,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878859,2023-06-26,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Mexico,Honduras,Honduras,Mexico,0,83962,A Elis,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878858,2023-06-25,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Haiti,Qatar,Haiti,Qatar,1,84947,A Christian,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878858,2023-06-25,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Haiti,Qatar,Haiti,Qatar,1,82557,F Picault,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878858,2023-06-25,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Haiti,Qatar,Haiti,Qatar,1,177567,C Sainte,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878858,2023-06-25,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Haiti,Qatar,Qatar,Haiti,0,107961,Bassam Al Rawi,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878858,2023-06-25,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Haiti,Qatar,Qatar,Haiti,0,107744,T Tarek Salman,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878858,2023-06-25,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Haiti,Qatar,Qatar,Haiti,0,172378,Tameem Mansour,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878858,2023-06-25,CONCACAF Gold Cup,2023,default: B,Group B Matches and results,Haiti,Qatar,Qatar,Haiti,0,80482,Ali Asad,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_1
soccerbase,878868,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Costa Rica,Martinique,Costa Rica,Martinique,1,154946,J Valverde,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878868,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Costa Rica,Martinique,Costa Rica,Martinique,1,161414,R Wilson,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878868,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Costa Rica,Martinique,Costa Rica,Martinique,1,74838,K Waston,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
soccerbase,878868,2023-07-05,CONCACAF Gold Cup,2023,default: C,Group C Matches and results,Costa Rica,Martinique,Martinique,Costa Rica,0,108870,Y Clementia,yellow,,lineup_bubble,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=2015&tab_id=2446&roundTab=roundTab_2
