source,soccerbase_game_id,date,competition,season,tab,stage,home_team,away_team,home_possession,away_possession,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_corners,away_corners,stats_source,source_url
soccerbase,784531,2019-06-22,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Honduras,Curacao,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2
soccerbase,784524,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Curacao,El Salvador,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2
soccerbase,784525,2019-06-18,CONCACAF Gold Cup,2019,default: C,Group C Matches and results,Jamaica,Honduras,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1703&tab_id=2091&roundTab=roundTab_2
soccerbase,784544,2019-07-08,CONCACAF Gold Cup,2019,Knockout Stages,Final,Mexico,USA,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703&tab=tab-2090
soccerbase,784543,2019-07-04,CONCACAF Gold Cup,2019,Knockout Stages,Semi-finals,Jamaica,USA,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703&tab=tab-2090
soccerbase,784542,2019-07-03,CONCACAF Gold Cup,2019,Knockout Stages,Semi-finals,Haiti,Mexico,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703&tab=tab-2090
soccerbase,784541,2019-07-01,CONCACAF Gold Cup,2019,Knockout Stages,Quarter-finals,USA,Curacao,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703&tab=tab-2090
soccerbase,784538,2019-06-30,CONCACAF Gold Cup,2019,Knockout Stages,Quarter-finals,Haiti,Canada,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703&tab=tab-2090
soccerbase,784540,2019-06-30,CONCACAF Gold Cup,2019,Knockout Stages,Quarter-finals,Jamaica,Panama,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703&tab=tab-2090
soccerbase,784539,2019-06-30,CONCACAF Gold Cup,2019,Knockout Stages,Quarter-finals,Mexico,Costa Rica,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1703&tab=tab-2090
soccerbase,707957,2015-07-27,CONCACAF Gold Cup,2015,default,Final,Jamaica,Mexico,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434
soccerbase,707956,2015-07-25,CONCACAF Gold Cup,2015,default,3rd/4th Place play-off,USA,Panama,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434
soccerbase,708024,2015-07-23,CONCACAF Gold Cup,2015,default,Semi-finals,Panama,Mexico,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434
soccerbase,707955,2015-07-22,CONCACAF Gold Cup,2015,default,Semi-finals,USA,Jamaica,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434
soccerbase,708023,2015-07-20,CONCACAF Gold Cup,2015,default,Quarter-finals,Mexico,Costa Rica,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434
soccerbase,707954,2015-07-19,CONCACAF Gold Cup,2015,default,Quarter-finals,Haiti,Jamaica,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434
soccerbase,718773,2015-07-19,CONCACAF Gold Cup,2015,default,Quarter-finals,Trinidad,Panama,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434
soccerbase,718772,2015-07-18,CONCACAF Gold Cup,2015,default,Quarter-finals,USA,Cuba,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434
soccerbase,707056,2015-07-14,CONCACAF Gold Cup,2015,Group Stages,Group A Matches and results,Haiti,Honduras,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434&tab=tab-1782
soccerbase,708021,2015-07-14,CONCACAF Gold Cup,2015,Group Stages,Group A Matches and results,Panama,USA,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434&tab=tab-1782
soccerbase,708018,2015-07-11,CONCACAF Gold Cup,2015,Group Stages,Group A Matches and results,USA,Haiti,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434&tab=tab-1782
soccerbase,707565,2015-07-10,CONCACAF Gold Cup,2015,Group Stages,Group A Matches and results,Honduras,Panama,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434&tab=tab-1782
soccerbase,707050,2015-07-08,CONCACAF Gold Cup,2015,Group Stages,Group A Matches and results,Panama,Haiti,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434&tab=tab-1782
soccerbase,707564,2015-07-08,CONCACAF Gold Cup,2015,Group Stages,Group A Matches and results,USA,Honduras,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament.sd?tourn_id=1434&tab=tab-1782
soccerbase,707057,2015-07-15,CONCACAF Gold Cup,2015,Group Stages: B,Group B Matches and results,Canada,Costa Rica,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_1
soccerbase,708020,2015-07-14,CONCACAF Gold Cup,2015,Group Stages: B,Group B Matches and results,Jamaica,El Salvador,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_1
soccerbase,707054,2015-07-12,CONCACAF Gold Cup,2015,Group Stages: B,Group B Matches and results,Costa Rica,El Salvador,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_1
soccerbase,707053,2015-07-11,CONCACAF Gold Cup,2015,Group Stages: B,Group B Matches and results,Jamaica,Canada,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_1
soccerbase,707051,2015-07-09,CONCACAF Gold Cup,2015,Group Stages: B,Group B Matches and results,Costa Rica,Jamaica,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_1
soccerbase,708016,2015-07-09,CONCACAF Gold Cup,2015,Group Stages: B,Group B Matches and results,El Salvador,Canada,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_1
soccerbase,707058,2015-07-16,CONCACAF Gold Cup,2015,Group Stages: C,Group C Matches and results,Mexico,Trinidad,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_2
soccerbase,708022,2015-07-15,CONCACAF Gold Cup,2015,Group Stages: C,Group C Matches and results,Cuba,Guatemala,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_2
soccerbase,707055,2015-07-13,CONCACAF Gold Cup,2015,Group Stages: C,Group C Matches and results,Guatemala,Mexico,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_2
soccerbase,708019,2015-07-12,CONCACAF Gold Cup,2015,Group Stages: C,Group C Matches and results,Trinidad,Cuba,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_2
soccerbase,707052,2015-07-10,CONCACAF Gold Cup,2015,Group Stages: C,Group C Matches and results,Mexico,Cuba,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_2
soccerbase,708017,2015-07-10,CONCACAF Gold Cup,2015,Group Stages: C,Group C Matches and results,Trinidad,Guatemala,,,,,,,,,additional_information_no_stats,https://www.soccerbase.com/tournaments/tournament_tab.sd?tourn_id=1434&tab_id=1782&roundTab=roundTab_2
