date,kickoff_at,match_number,home_team,away_team,tournament,stage,group,city,country,venue,region_cluster,airport_code,neutral,home_is_placeholder,away_is_placeholder
2026-06-19,2026-06-19 18:00:00-04,30,Scotland,Morocco,FIFA World Cup,Group Stage,C,Boston,United States,Gillette Stadium,East,BOS,True,False,False
2026-06-19,2026-06-19 21:00:00-04,31,Brazil,Haiti,FIFA World Cup,Group Stage,C,Philadelphia,United States,Lincoln Financial Field,East,PHL,True,False,False
2026-06-20,2026-06-20 16:00:00-04,34,Germany,Côte d'Ivoire,FIFA World Cup,Group Stage,E,Toronto,Canada,BMO Field,East,YYZ,True,False,False
2026-06-20,2026-06-20 20:00:00-05,35,Ecuador,Curaçao,FIFA World Cup,Group Stage,E,Kansas City,United States,Arrowhead Stadium,Central,MCI,True,False,False
2026-06-21,2026-06-21 00:00:00-06,36,Tunisia,Japan,FIFA World Cup,Group Stage,F,Monterrey,Mexico,Estadio BBVA,Central,MTY,True,False,False
2026-06-21,2026-06-21 12:00:00-04,37,Spain,Saudi Arabia,FIFA World Cup,Group Stage,H,Atlanta,United States,Mercedes-Benz Stadium,East,ATL,True,False,False
2026-06-21,2026-06-21 15:00:00-07,38,Belgium,Iran,FIFA World Cup,Group Stage,G,Los Angeles,United States,SoFi Stadium,West,LAX,True,False,False
2026-06-21,2026-06-21 18:00:00-04,39,Uruguay,Cape Verde,FIFA World Cup,Group Stage,H,Miami,United States,Hard Rock Stadium,East,MIA,True,False,False
2026-06-21,2026-06-21 21:00:00-07,40,New Zealand,Egypt,FIFA World Cup,Group Stage,G,Vancouver,Canada,BC Place,West,YVR,True,False,False
2026-06-22,2026-06-22 13:00:00-05,41,Argentina,Austria,FIFA World Cup,Group Stage,J,Dallas,United States,AT&T Stadium,Central,DAL,True,False,False
2026-06-22,2026-06-22 20:00:00-04,43,Norway,Senegal,FIFA World Cup,Group Stage,I,New York/New Jersey,United States,MetLife Stadium,East,EWR,True,False,False
2026-06-22,2026-06-22 23:00:00-07,44,Jordan,Algeria,FIFA World Cup,Group Stage,J,San Francisco Bay Area,United States,Levi's Stadium,West,SFO,True,False,False
2026-06-23,2026-06-23 13:00:00-05,45,Portugal,Uzbekistan,FIFA World Cup,Group Stage,K,Houston,United States,NRG Stadium,Central,IAH,True,False,False
2026-06-23,2026-06-23 16:00:00-04,46,England,Ghana,FIFA World Cup,Group Stage,L,Boston,United States,Gillette Stadium,East,BOS,True,False,False
2026-06-23,2026-06-23 19:00:00-04,47,Panama,Croatia,FIFA World Cup,Group Stage,L,Toronto,Canada,BMO Field,East,YYZ,True,False,False
2026-06-24,2026-06-24 15:00:00-07,49,Switzerland,Canada,FIFA World Cup,Group Stage,B,Vancouver,Canada,BC Place,West,YVR,False,False,False
2026-06-24,2026-06-24 18:00:00-04,51,Scotland,Brazil,FIFA World Cup,Group Stage,C,Miami,United States,Hard Rock Stadium,East,MIA,True,False,False
2026-06-24,2026-06-24 18:00:00-04,52,Morocco,Haiti,FIFA World Cup,Group Stage,C,Atlanta,United States,Mercedes-Benz Stadium,East,ATL,True,False,False
2026-06-24,2026-06-24 21:00:00-06,54,South Africa,South Korea,FIFA World Cup,Group Stage,A,Monterrey,Mexico,Estadio BBVA,Central,MTY,True,False,False
2026-06-25,2026-06-25 16:00:00-04,55,Curaçao,Côte d'Ivoire,FIFA World Cup,Group Stage,E,Philadelphia,United States,Lincoln Financial Field,East,PHL,True,False,False
2026-06-25,2026-06-25 16:00:00-04,56,Ecuador,Germany,FIFA World Cup,Group Stage,E,New York/New Jersey,United States,MetLife Stadium,East,EWR,True,False,False
2026-06-25,2026-06-25 19:00:00-05,58,Tunisia,Netherlands,FIFA World Cup,Group Stage,F,Kansas City,United States,Arrowhead Stadium,Central,MCI,True,False,False
2026-06-25,2026-06-25 22:00:00-07,60,Paraguay,Australia,FIFA World Cup,Group Stage,D,San Francisco Bay Area,United States,Levi's Stadium,West,SFO,True,False,False
2026-06-26,2026-06-26 15:00:00-04,61,Norway,France,FIFA World Cup,Group Stage,I,Boston,United States,Gillette Stadium,East,BOS,True,False,False
2026-06-26,2026-06-26 20:00:00-05,63,Cape Verde,Saudi Arabia,FIFA World Cup,Group Stage,H,Houston,United States,NRG Stadium,Central,IAH,True,False,False
2026-06-26,2026-06-26 20:00:00-06,64,Uruguay,Spain,FIFA World Cup,Group Stage,H,Guadalajara,Mexico,Estadio Akron,Central,GDL,True,False,False
2026-06-26,2026-06-26 23:00:00-07,65,Egypt,Iran,FIFA World Cup,Group Stage,G,Seattle,United States,Lumen Field,West,SEA,True,False,False
2026-06-26,2026-06-26 23:00:00-07,66,New Zealand,Belgium,FIFA World Cup,Group Stage,G,Vancouver,Canada,BC Place,West,YVR,True,False,False
2026-06-27,2026-06-27 17:00:00-04,67,Panama,England,FIFA World Cup,Group Stage,L,New York/New Jersey,United States,MetLife Stadium,East,EWR,True,False,False
2026-06-27,2026-06-27 17:00:00-04,68,Croatia,Ghana,FIFA World Cup,Group Stage,L,Philadelphia,United States,Lincoln Financial Field,East,PHL,True,False,False
2026-06-27,2026-06-27 19:30:00-04,69,Colombia,Portugal,FIFA World Cup,Group Stage,K,Miami,United States,Hard Rock Stadium,East,MIA,True,False,False
2026-06-27,2026-06-27 22:00:00-05,71,Algeria,Austria,FIFA World Cup,Group Stage,J,Kansas City,United States,Arrowhead Stadium,Central,MCI,True,False,False
2026-06-27,2026-06-27 22:00:00-05,72,Jordan,Argentina,FIFA World Cup,Group Stage,J,Dallas,United States,AT&T Stadium,Central,DAL,True,False,False
