source,espn_event_id,date,home_team,away_team,home_score,away_score,status,completed,fetched_at,source_url
espn,760470,2026-06-26,Türkiye,United States,3,2,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760474,2026-06-26,Senegal,Iraq,5,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760475,2026-06-26,Norway,France,1,4,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760476,2026-06-27,Egypt,Iran,1,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760477,2026-06-27,New Zealand,Belgium,1,5,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760478,2026-06-27,Cape Verde,Saudi Arabia,0,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760479,2026-06-27,Uruguay,Spain,0,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760480,2026-06-27,Croatia,Ghana,2,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760481,2026-06-27,Colombia,Portugal,0,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760482,2026-06-27,Congo DR,Uzbekistan,3,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760485,2026-06-27,Panama,England,0,2,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760483,2026-06-28,Jordan,Argentina,1,3,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760484,2026-06-28,Algeria,Austria,3,3,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760486,2026-06-28,South Africa,Canada,0,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760487,2026-06-29,Brazil,Japan,2,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760489,2026-06-29,Germany,Paraguay,1,1,STATUS_FINAL_PEN,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760488,2026-06-30,Netherlands,Morocco,1,1,STATUS_FINAL_PEN,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760490,2026-06-30,Ivory Coast,Norway,1,2,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760492,2026-06-30,France,Sweden,3,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760491,2026-07-01,Mexico,Ecuador,2,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760493,2026-07-01,Belgium,Senegal,3,2,STATUS_FINAL_AET,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760495,2026-07-01,England,Congo DR,2,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760494,2026-07-02,United States,Bosnia-Herzegovina,2,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760496,2026-07-02,Portugal,Croatia,2,1,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760497,2026-07-02,Spain,Austria,3,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
espn,760498,2026-07-03,Switzerland,Algeria,2,0,STATUS_FULL_TIME,True,2026-07-03,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard
